# attempts;# subdivs;value;#unique cols;mipgap;mip runtime;total runtime
0;4;14313.250000000005;352;0;0.276961088180542;0.9447213
0;8;14310.000000000002;344;0;0.06217622756958008;0.8472367
0;12;14308.916666666668;365;0;0.06093406677246094;0.928184
0;16;14372.833333333336;341;0;0.15472793579101562;0.595882
1;4;14282.91666666667;509;0;0.0925900936126709;0.7053997
1;8;14246.083333333334;500;0;0.1393430233001709;0.8574606
1;12;14152.91666666667;502;0;0.12297511100769043;1.0695801
1;16;14275.333333333336;521;0;0.11982202529907227;0.8113098
2;4;14152.91666666667;655;0;0.23897099494934082;1.9174794
2;8;14182.166666666672;669;0;0.26269102096557617;1.2314783
2;12;14182.16666666667;697;0;0.1847691535949707;1.2881755
2;16;14216.833333333338;647;0;0.17479395866394043;1.5400006
4;4;14152.91666666667;958;0;0.27648496627807617;2.7299578
4;8;14154.000000000004;908;7.653902312634603E-05;0.13349485397338867;2.148926
4;12;14182.166666666668;940;0;0.15924406051635742;2.4829593
4;16;14152.916666666668;946;0;0.17230701446533203;2.5430467
8;4;14100.916666666668;1042;0;0.40789103507995605;5.3928771
8;8;14100.916666666668;1147;0;0.18957901000976562;6.5679601
8;12;14124.750000000004;1051;0;0.14446496963500977;6.3876715
8;16;14100.91666666667;1084;0;0.18072795867919922;6.4208068
16;4;14100.91666666667;1677;0;0.19878697395324707;19.4241635
16;8;14100.916666666666;1675;0;0.2594640254974365;24.2338694
16;12;14100.916666666668;1660;0;0.22126293182373047;19.4054967
16;16;14100.916666666666;1695;0;0.46057581901550293;19.561471
32;4;14100.91666666667;2294;0;0.4770221710205078;52.9527693
32;8;14100.91666666667;2302;0;0.288114070892334;52.4836717
32;12;14100.916666666666;2293;0;0.22040486335754395;53.3663103
32;16;14100.916666666668;2298;0;0.15354299545288086;52.566772