# rounds;# its;best direct;best ilp;#unique cols;mipgap;ilp runtime;total runtime
5;50000;5031.965299316909;4187.188600925102;1281;0;81.8489179611206;82.9687182
5;50000;5007.825260207028;4271.011144660423;1303;0;136.4268341064453;136.9606454
5;50000;4818.567823996799;4235.833965661087;1287;0;243.42831110954285;243.9679546
5;50000;5230.367580080626;4263.910204947809;1297;0;85.22877383232117;85.7454716
5;50000;4845.772582713007;4273.7412838151695;1279;0;85.21273303031921;85.751358
5;100000;4419.280621822596;4044.087587956716;1074;0;96.8099958896637;97.8841745
5;100000;4446.106355497415;4037.8400360812675;1096;0;82.90309000015259;83.972495
5;100000;4409.730510786972;3877.6380328783575;1076;0;79.18007206916809;80.2066651
5;100000;4414.414479979656;4007.477286518376;1083;0;84.4894790649414;85.5164542
5;100000;4599.560219541371;3963.9707362287927;1081;0;83.83115601539612;84.9280683
5;500000;3812.0645517682237;3598.8152159562305;974;0;81.28555393218994;86.6108362
5;500000;3809.9929306660047;3446.585819109622;946;0;75.17356491088867;80.6835304
5;500000;3825.235624284636;3607.262479730637;951;0;85.8180160522461;91.1325404
5;500000;3810.237874017573;3591.0928698300922;958;0;80.46701407432556;85.8786211
5;500000;3804.3888917763793;3600.1644348503773;957;0;80.83050608634949;86.1906048
5;1000000;3787.121040994253;3407.1847987680294;899;0;75.85332918167114;86.8733038
5;1000000;3592.27905359516;3413.908072167825;929;0;75.58489203453064;86.5478663
5;1000000;3602.661636626504;3406.1362637463544;918;0;75.2360429763794;86.332794
5;1000000;3789.443395078196;3453.4969370805047;919;0;76.95768308639526;87.925819
5;1000000;3796.5554547256556;3428.948784497358;938;0;77.48279285430908;88.589695
5;5000000;3404.4877309274807;3399.2437393292857;850;6.075544578293043E-05;76.22194504737854;133.5119127
5;5000000;3611.642955621699;3411.641741869567;862;0;77.6928699016571;134.4982094
5;5000000;3415.0183842238102;3387.1384265588545;860;8.739490043857061E-05;75.58756422996521;132.6978523
5;5000000;3411.151383395798;3404.7676225758055;867;0;75.87058401107788;132.3079905
5;5000000;3412.8189695793512;3401.6400554932497;875;0;78.7885959148407;135.2092551
10;50000;4645.227471070345;4031.7467796276246;2274;0.0270913005308692;300.0248489379883;301.2718564
10;50000;4866.671468338514;4036.455831780408;2277;0;169.07199001312256;170.3373995
10;50000;4837.027964182441;3964.840453823841;2216;0;149.79557609558105;151.0343912
10;50000;4836.084070731078;4075.950043088295;2241;0;263.72883200645447;264.9759714
10;50000;4842.907347169377;4056.517198980608;2291;0.03310928257430915;300.00694704055786;301.3413175
10;100000;4431.973786211796;3807.654666341523;1870;0;138.78445315361023;141.1681449
10;100000;4387.489487136148;3809.043686332403;1880;0;101.19975996017456;103.5773425
10;100000;4225.204565403131;3833.5691478004223;1899;0;102.48912620544434;104.8723656
10;100000;4406.911220064596;3800.977941388607;1849;0;219.07210397720337;221.4466254
10;100000;4606.7131738769485;3706.666587686268;1904;0;91.10244798660278;93.414065
10;500000;3806.01351824314;3428.1012602530072;1728;0;78.04750895500183;90.1382306
10;500000;3792.561288655281;3408.9004518232214;1746;0;81.07580399513245;93.0608555
10;500000;3800.2497404415944;3417.0995768505736;1714;0;83.94169092178345;96.0026894
10;500000;3803.59625304255;3434.5428106236573;1697;7.40899196967181E-05;81.76865601539612;95.1054076
10;500000;3807.031075893942;3420.7968719131654;1704;0;77.79521083831787;89.8498605
10;1000000;3600.753597637418;3403.6158996309596;1664;0;77.14077711105347;101.9678341
10;1000000;3599.2604171908206;3396.883026758414;1635;0;77.46456813812256;102.3199909
10;1000000;3604.3864229637334;3394.3575990742747;1663;0;78.5362319946289;103.3339183
10;1000000;3603.7997001895496;3384.517786219497;1629;0;77.04140114784241;101.5545119
10;1000000;3602.6554970869333;3402.771526808871;1618;0;78.20708799362183;102.8470072
10;5000000;3411.4951971563505;3388.5283475245687;1495;0;77.77079892158508;206.1041008
10;5000000;3407.161866315161;3391.157056152136;1501;0;81.91920185089111;211.3385804
10;5000000;3589.729343208843;3384.0638786462973;1484;0;83.02942395210266;211.2935157
10;5000000;3404.476836797797;3387.139375367343;1516;0;78.20890307426453;206.239135
10;5000000;3414.456249474901;3397.3228659186266;1503;0;84.9409728050232;214.8048338
25;50000;4419.039297292642;3842.693254968871;4409;0.03336379734596223;300.014799118042;303.4073323
25;50000;4820.417009291421;3818.4281294995044;4451;0.042773548206812693;300.01636815071106;303.4505076
25;50000;4842.023357169092;3710.9290431090603;4355;0;131.40378093719482;134.5530465
25;50000;4815.136337380411;3840.010261395607;4327;0.033423683800898996;300.01429295539856;303.3369165
25;50000;4632.074095099784;3812.3240595710804;4433;0.029713386343306142;300.0131640434265;303.2330425
25;100000;4222.8015653384355;3616.1067886979854;3586;0;99.75113201141357;106.0667843
25;100000;4229.540857422986;3610.3530619817775;3625;0;112.7363920211792;119.0264648
25;100000;4426.646242161909;3624.5190710798547;3491;0;136.361496925354;142.5318345
25;100000;4413.34875033236;3616.9344298500755;3613;0;122.0871958732605;128.397434
25;100000;4436.551932408088;3619.436250319151;3636;0;264.06796884536743;270.2596357
25;500000;3791.3998235903564;3384.566834382015;3390;0;82.20363092422485;114.2222807
25;500000;3794.7519360915626;3400.0963256209347;3392;0;92.44881892204285;124.3915218
25;500000;3605.0253553394373;3386.803043779786;3384;0;79.63854885101318;111.7877578
25;500000;3799.402965168543;3387.197608688402;3360;2.1765286070016357E-07;83.24312686920166;115.5461342
25;500000;3793.3263348305277;3384.5551082094553;3433;0;77.0157310962677;109.0097632
25;1000000;3407.138829877261;3385.059743804826;3222;0;87.05996608734131;152.9387294
25;1000000;3606.5939780388253;3389.3530092515425;3155;0;82.00540804862976;148.3074146
25;1000000;3600.81814900296;3388.904641388987;3185;0;86.09144282341003;151.9746789
25;1000000;3404.981040785656;3384.8315418076954;3208;0;81.81711006164551;147.6499762
25;1000000;3416.7733795844624;3389.353255119814;3221;0;85.40834784507751;151.0213444
25;5000000;3408.4515617561237;3385.00693245664;2952;0;84.51863098144531;426.5305659
25;5000000;3406.6839052241357;3384.557113211119;2910;0;90.6054379940033;433.6318194
25;5000000;3404.980101831187;3385.010536219497;2960;0;82.84630298614502;425.0216265
25;5000000;3392.8504329619877;3384.5566610212986;2985;0;83.93074607849121;426.1353325
25;5000000;3409.0342068836953;3384.514633591618;2973;0;85.76548194885254;427.0385208
50;50000;4642.470693364824;3621.0606007366737;7104;0;139.3764410018921;146.064229
50;50000;4630.88344360707;3624.4236975232257;6969;0;194.3169310092926;200.9674254
50;50000;4630.288196676712;3655.3886622153746;7021;0;294.36930799484253;301.0354547
50;50000;4612.85302877654;3623.1796600205403;6979;0;170.2906789779663;177.075099
50;50000;4811.902665943916;3638.7013202132584;7022;0;276.42493295669556;283.1325028
50;100000;4225.543748473853;3590.6561006545808;5730;0.032222697870440804;300.0095088481903;312.91007
50;100000;4202.084200117832;3600.243048158819;5757;0.03600858004695005;300.02184295654297;312.8849283
50;100000;4412.769609396992;3586.2007150215586;5749;0.02861558844370291;300.01563787460327;312.680739
50;100000;4401.6575662270825;3591.1800948391124;5718;0.029639271869816894;300.0119779109955;313.0912141
50;100000;4218.2153945159;3586.7980450440896;5729;0.031505222371106374;300.00959396362305;313.0676603
50;500000;3793.4153012147904;3384.557113211119;5415;0;82.10680389404297;147.6111603
50;500000;3593.9942922497926;3386.690405795459;5432;0;84.93840503692627;150.7704263
50;500000;3786.738824144138;3384.5600860233412;5488;0;89.63216495513916;155.3499063
50;500000;3615.5249000899275;3384.557113211119;5357;0;91.7147650718689;157.5207456
50;500000;3797.1398809188095;3384.5629244289403;5435;0;84.67162203788757;150.2698374
50;1000000;3407.1850855889597;3384.559137214853;5031;0;102.80364203453064;237.5582952
50;1000000;3413.4889557386996;3384.5555603992757;5136;0;87.72570705413818;223.3805979
50;1000000;3417.4420195913167;3384.5556798378093;5130;0;90.72956895828247;225.5453911
50;1000000;3411.422889781544;3384.5566606840066;5052;0;89.07758498191833;223.9114233
50;1000000;3406.6822433437005;3384.555679837809;5063;0;85.14560294151306;219.8154105
50;5000000;3404.4802405856854;3384.5566610212986;4611;0;94.76719903945923;798.4398556
50;5000000;3407.13919266991;3384.5634666759925;4549;0;99.51733899116516;797.5735676
50;5000000;3404.4781062710863;3384.5566610212986;4647;0;97.868155002594;800.020299
50;5000000;3404.4781062710863;3384.5571132111186;4588;0;101.78619885444641;800.0552145
50;5000000;3408.4617462460133;3384.557113211119;4620;0;109.12315106391907;807.439881