instance;sec n;sec m;ls rounds;ls maxIts;int vsp cols;int csp cols;int vsp selected cols;int csp selected cols;int csp selected single;int vsp value;int csp value;int vsp pullout;int vsp tripdriving;int vsp tripkwh;int vsp dhdriving;int vsp dhkwh;int vsp idlekwh;int vsp batterydeg;int csp blockhours;int csp blockdrivinghours;int csp breakhours;int mip runtime;int mip gap;int total runtime
../../data/terschelling;8;8;5;500000;33914;1460;6;9;0;1800.803463783025;3716.5833333333326;1200;38.175650000000005;312.7349248;10.289;84.28748800000005;12.653333333333315;142.66306764969175;37.483333333333334;25.333333333333332;3.55;457.0350000858307;0;725.3007747
../../data/terschelling;8;8;5;500000;33163;5520;6;9;0;1800.803463783025;3716.5833333333326;1200;38.175650000000005;312.7349248;10.289;84.28748800000005;12.653333333333315;142.66306764969175;37.483333333333334;25.333333333333332;3.55;459.97499990463257;0;831.5881812
../../data/terschelling;8;8;5;500000;38657;1053;6;9;0;1800.803463783025;3716.5833333333326;1200;38.175650000000005;312.7349248;10.289;84.28748800000005;12.653333333333315;142.66306764969175;37.483333333333334;25.333333333333332;3.55;455.8599998950958;0;744.0020045
../../data/terschelling;8;8;5;500000;35963;4295;6;9;0;1830.3659441708587;3667.8333333333335;1200;38.17565;312.7349248;10.4532;85.63261440000005;11.266666666666648;172.10288830419202;36.96666666666667;25.583333333333332;3.4833333333333334;455.74900007247925;0;786.8075818
../../data/terschelling;8;8;5;500000;37935;718;6;9;0;1800.803463783025;3716.5833333333326;1200;38.175650000000005;312.7349248;10.289;84.28748800000005;12.653333333333315;142.66306764969175;37.483333333333334;25.333333333333332;3.55;458.75400018692017;0;738.7792423
../../data/leiden-1-2;4;4;50;500000;45331;5390;10;21;0;3367.2995033507523;11327.25;2000;98.16635000000001;898.4184351999997;9.67175;88.51585599999997;10.720000000000015;261.8071121507526;114.55;102.38333333333334;22.4;91.31499981880188;0;1147.6840286
../../data/leiden-1-2;4;4;50;500000;47427;13670;10;20;0;3398.077421633199;11263.999999999998;2000;98.16635000000001;898.4184351999997;11.02475;100.89851199999997;10.720000000000017;278.8493744331991;115.55;102.38333333333334;20.516666666666666;465.2019999027252;6.10134914220142E-11;1859.3769281
../../data/leiden-1-2;4;4;50;500000;46236;10730;10;21;0;3367.2995033507523;11327.25;2000;98.16635000000001;898.4184351999997;9.67175;88.51585599999997;10.720000000000015;261.8071121507526;114.55;102.38333333333334;22.4;294.97500014305115;0;1497.8633465
../../data/leiden-1-2;4;4;50;500000;49516;10368;10;21;0;3367.2995033507523;11327.25;2000;98.16635000000001;898.4184351999997;9.67175;88.51585599999997;10.720000000000015;261.8071121507526;114.55;102.38333333333334;22.4;261.92599987983704;0;1492.555107
../../data/leiden-1-2;4;4;50;500000;45879;11658;10;21;0;3367.2995033507523;11327.25;2000;98.16635000000001;898.4184351999997;9.67175;88.51585599999997;10.720000000000015;261.8071121507526;114.55;102.38333333333334;22.4;326.5039999485016;7.858277190157807E-05;1529.3823748
../../data/leiden-3-4-14;16;8;50;500000;105592;29011;11;22;0;3643.1353763794277;12583.500000000002;2200;101.32005000000001;927.2810976000004;9.5229;87.15358079999997;8.906666666666677;308.9510813127606;128.6;116.28333333333333;20.966666666666665;506.6749999523163;0;11720.4376189
../../data/leiden-3-4-14;16;8;50;500000;114251;40919;11;22;0;3643.754027872913;12572.666666666668;2200;101.32005000000001;927.2810976000004;9.972199999999999;91.26557439999998;8.106666666666676;305.80843920624585;128.81666666666666;116.28333333333333;21.133333333333333;584.4860000610352;0;12830.7071731
../../data/leiden-3-4-14;16;8;50;500000;104910;43139;11;22;0;3643.754027872913;12579.166666666668;2200;101.32005000000001;927.2810976000004;9.972199999999999;91.26557439999998;8.106666666666676;305.80843920624585;128.61666666666667;116.6;21.266666666666666;588.5009999275208;0;12665.2000246
../../data/leiden-3-4-14;16;8;50;500000;99997;31819;11;22;0;3643.1353763794277;12583.5;2200;101.32005000000001;927.2810976000004;9.5229;87.15358079999997;8.906666666666677;308.9510813127606;128.6;116.28333333333333;20.85;514.2469999790192;1.3710144099753295E-10;11481.6097349
../../data/leiden-3-4-14;16;8;50;500000;103142;32753;11;22;0;3642.871823788085;12658.833333333334;2200;101.58070000000001;929.6665664000003;9.36735;85.72998719999997;8.90666666666668;307.6205535214179;128.58333333333334;116.88333333333334;22.666666666666668;498.0160000324249;0;11667.1822663
../../data/leiden;16;8;50;500000;120462;43583;18;37;0;6325.512432163451;21427.416666666664;3600;200.00770000000006;1830.4704704000003;9.2877;85.00103039999993;16.373333333333356;584.3721980301176;229.73333333333332;219.9;28.65;1800.292000055313;0.0032549640088181137;13816.9144658
../../data/leiden;16;8;50;500000;118650;39442;18;37;0;6314.001502395471;21512.5;3600;199.74705000000006;1828.0850016000004;9.296799999999998;85.08431359999993;16.373333333333353;575.4150038621375;228.48333333333332;219.26666666666668;30.766666666666666;1800.108999967575;0.0032987653724949675;9684.9128026
../../data/leiden;16;8;50;500000;118654;31124;18;37;0;6314.577926032513;21551.5;3600;200.00770000000006;1830.4704704000005;9.141249999999998;83.66071999999993;16.373333333333356;574.9244522991786;228.46666666666667;219.9;31.95;1800.0729999542236;0.0012912336949874395;13314.1070617
../../data/leiden;16;8;50;500000;119309;41951;18;37;0;6346.076351881738;21438.25;3600;200.00770000000006;1830.4704703999998;9.643249999999998;88.25502399999993;16.373333333333356;601.3265741484053;229.93333333333334;219.9;28.15;1800.2000000476837;0.0014406639464161221;11036.9981304
../../data/leiden;16;8;50;500000;120279;29058;18;37;0;6314.577926032513;21551.499999999996;3600;200.00770000000006;1830.4704704000005;9.141249999999998;83.66071999999993;16.373333333333356;574.9244522991786;228.46666666666667;219.9;31.85;1800.0699999332428;0.0019757428043289628;14670.4902219